name,similar,desc,tags,num_eps,agg_review,1,2,3,4,5
angels-3piece,Tanaka-kun is Always Listless::Minami Kamakura High School Girls Cycling Club::Piacevole::JK-MESHI!,"
            A shut-in ever since he had a traumatic experience, Nukui Hibiki's biggest hobby has been using vocalization software to create and uploading songs online. One day, he receives an email from some fifth-grader girls, asking to meet and discuss something with him. The three girls, who have grown up together almost like siblings, ask him to help them show their gratitude to the people who have taken care of them. The method they've devised? Putting on a successful concert at a place full of memories.
          ",Showgate::angel's 3piece::slice of life::tenshi no 3p,12,4,2,2,5,6,9
angels-of-death,Nyanbo!::Between the Sky and Sea::Toriko::Digimon Adventure tri,"
            When Rachel wakes up in the basement of an unfamiliar building, she finds herself lost all her memory. As Rachel tries to get clear of the basement, she runs into Zack, a scythe-carrying serial killer wrapped from head to toe in bandages. “Kill me, kill me please…"" ""I will do it, but only if you help me to get out of this building.” The bizarre promise brings these two together and somehow makes them an irreplaceable partner to each other. Where are they? Why are they trapped? And what is the destiny they have been looking for? The journey of death and lives starts…
          ",Kadokawa Pictures Inc.::adventure::satsuriku no tenshi,16,4,16,15,19,21,73
angolmois-record-of-mongol-invasion,Gifu Dodo!! Kanetsugu and Keiji::SENGOKUCHOJYUGIGA::Soul Buster::Samurai Jam-Bakumatsu Rock,"
            In the 13th century, the Mongolian Empire rapidly expands across the globe. Later historians who studied the prophecies of Nostradamus would say that Mongolia was the birthplace of the ""Great King of Terror"", Angolmois.  And at last, the force of the Mongolian Empire would turn their attention toward Japan... 
 
1274: The Bun'ei Invasion. 
 
This story is a fresh look at the great battle that rocked all of medieval Japan: the Mongol Invasion. It shows how the people of Tsushima panicked, struggled, and eventually rose up against the overwhelming forces of their enemy.
          ",Kadokawa Pictures Inc.::historical::angolmois genkou kassenki,12,4.5,0,1,2,6,22
anima-yell,Gabriel DropOut::Nyanko Days::Ai-Mai-Mi Surgical Friends::Miss Bernard said.,"
            Hatogaya Kohane falls in love with cheerleading at the end of middle school, and begins a cheerleading club in high school with Arima Hizume and Saruwatari Uki. The positive, hard-working girls will be sure to cheer you up!
          ",Toho::slice of life::comedy,12,4.5,0,0,0,4,8
anime-academy,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Welcome to Anime Academy, where we give you quickie lessons on our favorite anime terms. Each episode, we'll introduce a new lesson to help you go deeper and farther down the anime rabbit hole! Join us every Tuesday for the best class ever with hosts Reina Scully and Victoria Holden.
          ",crunchyroll,13,3,7,0,0,1,5
anime-crimes-division,ETOTAMA::BIG ORDER::Dai-Shogun - Great Revolution::Majestic Prince,"
            In Neo Otaku City, there are two kinds of people. The kind of people that can recite the Sailor Moon theme song from memory in the original Japanese, and the kind that don't belong there. When someone commits a crime against anime, they don't call the police. They call: the Anime Crimes Division.
          ",crunchyroll::comedy::action,9,4,9,0,0,3,31
anime-de-training-ex,My Mental Choices are Completely Interfering with my School Romantic Comedy::My First Girlfriend is a Gal::NEW GAME!::Miss Bernard said.,"
            Five girls who are aiming to become idols, lead the viewer through practicing various types of training, such as push-up, sit-up, back extension, dance, yoga, stretch, trunk training, and Tai Chi, while talking to viewers.
          ",Earth Star Entertainment::ecchi::comedy::slice of life::anitore,24,3.5,5,1,7,1,12
anime-recap,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Anime Recap is a weekly news show that brings you the latest news in bite-sized segments, so you can stay up to speed on everything anime. Find more fun videos from the Crunchyroll team on YouTube!
          ",crunchyroll,44,3.5,1,2,0,0,4
anime-gataris,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Just as soon as she enters Sakaneko Private High School, Asagaya Minoa is dragged into the anime club by her classmate, Kamiigusa Alice, even though she knows next to nothing about anime. A classmate, Kouenji Miko, along with other anime-loving senpais, quickly turn her into an anime fan. Fighting off the incessant shut-down threats of the student council, and completely oblivious to the coming apocalypse, the anime club talks about anime in the club, at Akihabara, at anime Meccas, and at hot springs.
          ",DMM Corporation,12,4.5,1,1,2,3,12
anisava,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Welcome to the concrete jungle, where it’s a struggle to survive among the animals of the city. Watch Jake the bear, Jenny the cat and their cast of slightly crazy friends as they live, love and try to stay sane in a wild world.
          ","TMS Entertainment Co., Ltd.::english dub available",13,4,1,0,1,4,4
